name,prompt,negative_prompt
style1,"a hot 16 years old girl, 4'7 tall,  full body and head, {fully naked}, {{open legs}}, {{{showing pussy}}}, sitting on a rock, amazing body,{open lace beach coat}, intricate details, hyperdetailed, photographed on a Canon EOS R5, 28mm lens, F/2.8, diffused soft lighting, shadow dept of field, close up","deformed, bad anatomy, disfigured, poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, {{{{mutated hands and fingers}}}}, watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, half body, no head, girls panties, underwear, panties, Asian, extra foot, extra legs, 2 bodies, "
multigirls,"homeselfie realphoto, beautiful 17-years-old pretty girlfriends in (colorful transparent-lingerie:1.3), (imperfect uneven irregular skin, veins, detailed skin folds pores:1.2), (another-faces:1.3), (another-hair-color:1.3), (another-eyes-color:1.3), (standing:1.2), (looking at camera:1.0), highly detailed eyes, (sharp focus:1.0), (loop lighting:0.7), (daylighting:1.0), raw digital photo, uhd, hdr, 8k,","(twins:1.4), (geminis:1.4), ugly face, (retouching photo:1.5), (retouch:1.5), (smooth skin:1.4), (makeup:1.5), (soft skin:1.4), (even skin tone:1.5), (wrong eyeballs:1.2), (cloned face:1.3), (perfect skin:1.5), (mutated hands and fingers:1.4), disconnected hands, (cartoon:1.2), (anime:1.2), (art:1.1), disconnected limbs, amputation"
Gala-party,"selfie realphoto, beautiful teenage girl and pretty girlfriends wearing (colorful-fancy-short-dress:1.2) in a (gala-party:1.2), (standing:1.3), ((heels)), (cleavage), (red tones lipstick and makeup), jewelries, (imperfect uneven irregular skin, veins, detailed skin folds pores:1.2), (another-faces:1.4), (another-hair-color:1.3), (another-eyes-color:1.3), (another-skin-color:1.3), highly detailed eyes, (sharp focus:1.0), (loop lighting:0.7), (daylighting:1.0), raw digital photo, hdr, 4k,","(twins:1.4), (geminis:1.4), ugly face, (retouching photo:1.5), (retouch:1.5), (smooth skin:1.4), (soft skin:1.4), (even skin tone:1.5), (wrong eyeballs:1.2), (cloned face:1.3), (perfect skin:1.5), (mutated hands and fingers:1.4), disconnected hands, (cartoon:1.2), (anime:1.2), (art:1.1), disconnected limbs, amputation, obese, Asian"
sleepover party,"homeselfie realphoto full body, (hot naughty 14-years-old-girls on a sleepover party:1.4), (imperfect uneven irregular skin, veins, detailed skin folds pores:1.2), (thin-waist), (another-faces:1.4), (another-hair-color:1.3), (another-eyes-color:1.3), highly detailed eyes, raw digital photo, (sharp focus:1.0), (loop lighting:0.7), (daylighting:1.0), hyperealistic, intricated detail, 8k, photo realistic, hdr, uhd","(twins:1.4), (geminis:1.4), ugly face, close-up shot, head-shot, (retouching photo:1.5), (retouch:1.5), (smooth skin:1.4), (makeup:1.5), (soft skin:1.4), (even skin tone:1.5), (wrong eyeballs:1.2), (cloned face:1.3), (perfect skin:1.5), (mutated hands and fingers:1.4), disconnected hands, (cartoon:1.2), (anime:1.2), (art:1.1), disconnected limbs, amputation, Asian, obese, extra limbs"
singlegirl,"homeselfie realphoto, (pretty 15-years-old-girl:1.4), full body and head, (((showing pussy))), (sexy-pose), (small-breasts), (at class), amazing body, (naughty-school-uniform), intricate details, hyperdetailed, photographed on a Canon EOS R5, 28mm lens, F/2.8, diffused soft lighting, shadow dept of field, bokeh, hdr, uhd, 8k, raw digital image","deformed, bad anatomy, disfigured, poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, {{{{mutated hands and fingers}}}}, watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, half body, no head, girls panties, underwear, panties, Asian, extra foot, extra legs, 2 bodies,"
schoolgirls,"homeselfie realphoto, (hot 14-years-old-girl:1.4),(3 pretty girlfriends:1.2), (full body and head), (showing pussy:1.3), (small-breasts), (at class:1.2), amazing body, (naughty-school-skirt:1.1), (another-faces:1.3), (another-hair-color:1.3), (another-eyes-color:1.3), highly detailed eyes, raw digital image, intricate details, hyperdetailed, diffused soft lighting, shadow dept of field, hdr, uhd, 8k","deformed, bad anatomy, disfigured, poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, (((mutated hands and fingers))), watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, (half body), no head, girls panties, underwear, panties, Asian, extra foot, extra legs, 2 bodies,"
fuckstyle,"realphoto, (hot 15years-old-girl:1.4), (full body and head), (naked:1.3), (small-breasts:1.3), (pink-nipples and pussy:1.2), (couch), (dick-penetrating:1.6), (half open mouth crying face:1.3), (at class:1.3), amazing body, (naughty-school-uniform:1.2),raw digital photo, intricate details, hyperdetailed, diffused soft lighting, shadow dept of field, bokeh, hdr, uhd, 8k","(censured), (deformed), (bad anatomy), (disfigured), poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, (((mutated hands and fingers))), watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, half body, no head, girls panties, underwear, panties, Asian, extra foot, extra legs, 2 bodies,"
firststyle,"(realphoto), (raw digital photo), (professional), intricate details, hyperealistic, hdr, uhd, 8k","(censured:1.2), (twins:1.4), (siamese-siblings:1.4), (geminis:1.4), ugly face, close-up shot, head-shot, (retouching photo:1.5), (retouch:1.5), (smooth skin:1.4), (makeup:1.5), (soft skin:1.4), (even skin tone:1.5), (wrong eyeballs:1.2), (cloned face:1.3), (perfect skin:1.5), (mutated hands and fingers:1.4), disconnected hands, (cartoon:1.2), (anime:1.2), (art:1.1), disconnected limbs, amputation, Asian, obese, extra limbs"
city night,"realphoto,  gorgeous brunette, (photo from head to toes:1.5), visible vagina through transparent panties, visible nipples through transparent jecket, (pink lipstick and makeup), highly detailed eyes, raw digital photo,  hyperrealism, soft light, sharpness:1.2, (perfect figure), on a photographic background of a night city, intricate details, hyperdetailed, hdr, uhd, 8k","partial body, only bust, (censured), (deformed), (bad anatomy), (disfigured), poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, (((mutated hands and fingers))), watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, half body, no head, girls panties, underwear, panties, Asian, extra foot, extra legs, 2 bodies, no face, only torso, only face,"
Disney princess,"realphoto, full body, naughty 15-years-old Disney princesses, super sexy, highly detailed eyes, hyperrealistic, raw digital image, cinematic, sharp focus, soft light, UHD, HDR, 8k","deformed, bad anatomy, disfigured, poorly drawn face, mutation, mutated, extra limb, ugly, disgusting, poorly drawn hands, missing limb, extra limb, floating limbs, disconnected limbs, malformed hands, blurry, (((mutated hands and fingers))), watermark, watermarked, oversaturated, censored, distorted hands, amputation, missing hands, doubled face, double hands, black lips, no face, no hands, no legs, half body, no head, extra foot, extra legs, 2 bodies,"
